ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0043062	extracellular structure organization	38/686	245/12179	1.08236687026694e-08	4.22516667356931e-06	3.3030315304127e-06	ADAMTS1/PDPN/PTX3/COL11A1/LAMA2/COL1A1/ADAMTS14/CRISPLD2/GPM6B/COL7A1/COL4A1/COL4A4/CFLAR/NID1/POSTN/KAZALD1/SOX9/AXIN2/ADAMTSL1/SPINT2/ITGA8/DPT/ANGPTL7/TGFB2/MMP15/AGT/TNFRSF11B/CCN1/COL4A3/COL27A1/ADAMTS5/RGCC/SFRP2/OLFML2A/RXFP1/MMP7/MMP10/COL28A1	38
GO:0045229	external encapsulating structure organization	38/686	247/12179	1.35867459154829e-08	4.86179058009028e-06	3.80071339688376e-06	ADAMTS1/PDPN/PTX3/COL11A1/LAMA2/COL1A1/ADAMTS14/CRISPLD2/GPM6B/COL7A1/COL4A1/COL4A4/CFLAR/NID1/POSTN/KAZALD1/SOX9/AXIN2/ADAMTSL1/SPINT2/ITGA8/DPT/ANGPTL7/TGFB2/MMP15/AGT/TNFRSF11B/CCN1/COL4A3/COL27A1/ADAMTS5/RGCC/SFRP2/OLFML2A/RXFP1/MMP7/MMP10/COL28A1	38
GO:0001525	angiogenesis	52/686	409/12179	2.55867716629601e-08	8.45150750159621e-06	6.60698095815221e-06	ADAMTS1/ADAM12/HIF3A/CCN3/AMOT/TGFBR2/FZD8/MFGE8/EPHB2/COL4A1/KLF5/WARS1/PIK3R3/LEP/ANPEP/S1PR1/RHOJ/PLK2/EPHB3/BMPER/GLUL/ROBO1/SAT1/ADM2/DDAH1/CCN2/RHOB/APOD/BRCA1/VEGFA/TGFB2/THBS1/FZD5/PLXDC1/TYMP/FGF10/VASH2/CCN1/COL4A3/COL27A1/NR4A1/IL12A/FGFR2/ANG/HPSE/E2F7/RGCC/SFRP2/EGR3/HMOX1/PTGS2/TMEM100	52
GO:0007411	axon guidance	27/686	155/12179	1.34575774410311e-07	3.8524558354525e-05	3.01166417259285e-05	NEXN/CXCL12/PLXNA4/LAMA2/EPHB2/FLRT3/EPHB6/RPS6KA5/SEMA3A/EPHB3/GDNF/KIAA1755/ROBO1/PLEKHG4/VEGFA/GDF7/SEMA6D/CHL1/RAC3/SCN1B/EGR2/KALRN/NRXN3/CDH4/EPHA4/LGI1/EPHA5	27
GO:0097485	neuron projection guidance	27/686	155/12179	1.34575774410311e-07	3.8524558354525e-05	3.01166417259285e-05	NEXN/CXCL12/PLXNA4/LAMA2/EPHB2/FLRT3/EPHB6/RPS6KA5/SEMA3A/EPHB3/GDNF/KIAA1755/ROBO1/PLEKHG4/VEGFA/GDF7/SEMA6D/CHL1/RAC3/SCN1B/EGR2/KALRN/NRXN3/CDH4/EPHA4/LGI1/EPHA5	27
GO:0008217	regulation of blood pressure	22/686	110/12179	1.62577178906565e-07	4.36316503890494e-05	3.41091199692787e-05	KCNK6/OXTR/ABCC9/AGTRAP/ABAT/CORIN/ACTA2/LEP/POSTN/ADRA1B/ADM2/DDAH1/CORO2B/BDKRB1/GCH1/AGT/IER3/ARHGAP42/ADORA1/HSD11B2/PTGS2/ASIC2	22
GO:0023061	signal release	41/686	305/12179	1.76732619197748e-07	4.46405804020664e-05	3.48978527939082e-05	CXCL12/CCKAR/SOX4/INHBB/RAB11FIP1/CCN3/FOXO1/IRS2/C1QTNF1/OXTR/ABAT/LIF/PLA2G4A/PRKCE/LEP/ATP2A2/CADPS2/SYN2/GDNF/SLC38A2/P2RX7/MCTP1/GPR68/AGT/ADCY8/NR4A1/CAMK2A/ADRA2A/STX11/TRPV6/SNCAIP/PER2/ADORA1/CYP19A1/PTGS2/RAPGEF4/EPHA5/ACVR1C/MAOB/HTR2A/CHD7	41
GO:0061564	axon development	45/686	362/12179	4.37906113741925e-07	0.000104464936244879	8.16656489311695e-05	NEXN/CXCL12/CCKAR/ADARB1/PLXNA4/LAMA2/GPM6B/CRABP2/EPHB2/FLRT3/ADCY1/EPHB6/RPS6KA5/RND2/SEMA3A/EPHB3/GDNF/KIAA1755/ROBO1/PLEKHG4/FGF13/ULK2/APOD/ARHGEF28/SLITRK6/VEGFA/GDF7/SEMA6D/CHL1/VASH2/RAC3/SCN1B/SPTBN4/PLPPR4/EGR2/PAK3/KALRN/FGFR2/NRXN3/CDH4/EPHA4/NGF/LGI1/SCARF1/EPHA5	45
GO:0051046	regulation of secretion	48/686	401/12179	5.55973749231168e-07	0.000125341131008956	9.79856511625921e-05	CXCL12/CCKAR/SOX4/INHBB/RAB11FIP1/CCN3/FOXO1/IRS2/C1QTNF1/OXTR/ABAT/CORIN/LIF/PLA2G4A/PRKCE/LEP/ATP2A2/CADPS2/GDNF/SLC38A2/P2RX7/MCTP1/GPR68/TGFB2/FGF10/AGT/LGI3/ADCY8/STC1/NRG1/IL12A/CAMK2A/ADRA2A/ANG/TRPV6/RGCC/SNCAIP/RAB27B/SEPTIN4/PER2/ADORA1/CYP19A1/RAPGEF4/EPHA5/ACVR1C/MAOB/HTR2A/CHD7	48
GO:0043408	regulation of MAPK cascade	53/686	463/12179	5.85827633659265e-07	0.000125341131008956	9.79856511625921e-05	DUSP1/PER1/GDF15/FOXO1/ATF3/C1QTNF1/EPHB2/NEK10/CFLAR/LIF/ACTA2/GPR37/PRKCE/LEP/DUSP10/SEMA3A/BMPER/GADD45B/ROBO1/ADRA1B/DUSP5/TNIK/CCN2/RASSF2/P2RX7/VEGFA/TGFB2/THBS1/CDON/IL34/FGF10/AGT/CCN1/DOK6/NRG1/LBH/PAK3/LMO3/ADRA2A/CCL8/FGFR2/FAM83D/EPHA4/ADORA1/RAMP3/CCL7/PLCG2/XDH/DUSP8/GADD45G/PSCA/HTR2A/CCR1	53
GO:0001503	ossification	42/686	331/12179	6.15338522528753e-07	0.000125341131008956	9.79856511625921e-05	SORT1/FSTL3/COL11A1/COL1A1/ZBTB16/TMT1A/CEBPD/GPM6B/ITGA11/CBS/ZHX3/FBN2/TMEM119/TENT5A/DHRS3/IGSF10/LEP/PKDCC/S1PR1/CCN2/RASSF2/P2RX7/KAZALD1/SOX9/LGR4/CRIM1/DNAI3/AXIN2/RSPO2/TNFAIP6/CCN1/STC1/CHRDL2/GDF5/EGR2/CYP24A1/FGFR2/SFRP2/SLC24A3/PTGS2/ENPP1/CCR1	42
GO:0003073	regulation of systemic arterial blood pressure	14/686	52/12179	6.79896961986982e-07	0.000125341131008956	9.79856511625921e-05	KCNK6/OXTR/CORIN/POSTN/ADRA1B/ADM2/DDAH1/CORO2B/AGT/IER3/ARHGAP42/ADORA1/HSD11B2/ASIC2	14
GO:0006936	muscle contraction	32/686	220/12179	6.99312616061021e-07	0.000125341131008956	9.79856511625921e-05	CACNB2/PDE5A/LMOD1/SCN7A/OXTR/ABCC9/ABAT/APBB2/SGCD/ACTA2/ATP2A2/GDNF/CLIC2/ADRA1B/FGF13/BDKRB2/NEDD4L/SCN1B/KCNE3/STC1/NR4A1/CACNA1G/ADRA2A/ARHGAP42/KCND3/KCND2/ADORA1/PTGS2/MYH13/PKP2/KCNB2/HTR2A	32
GO:0045670	regulation of osteoclast differentiation	13/686	45/12179	7.0055592552747e-07	0.000125341131008956	9.79856511625921e-05	FSTL3/PIK3R1/NEDD9/RASSF2/LRRC17/GPR68/UBASH3B/TNFAIP6/MAFB/TNFRSF11B/CAMK4/INPP5D/CCR1	13
GO:0007409	axonogenesis	41/686	322/12179	7.65170449302119e-07	0.000131425676372132	0.000102742255276819	NEXN/CXCL12/CCKAR/ADARB1/PLXNA4/LAMA2/CRABP2/EPHB2/FLRT3/ADCY1/EPHB6/RPS6KA5/RND2/SEMA3A/EPHB3/GDNF/KIAA1755/ROBO1/PLEKHG4/FGF13/ULK2/ARHGEF28/SLITRK6/VEGFA/GDF7/SEMA6D/CHL1/RAC3/SCN1B/SPTBN4/PLPPR4/EGR2/PAK3/KALRN/FGFR2/NRXN3/CDH4/EPHA4/NGF/LGI1/EPHA5	41
GO:0006935	chemotaxis	38/686	291/12179	1.04208504916855e-06	0.000163121485516877	0.000127520510213351	DUSP1/VCAM1/CXCL12/PLXNA4/CCN3/AMOT/FLRT3/DAPK2/NEDD9/S1PR1/SEMA3A/GDNF/ROBO1/HMGB2/ENPP2/VEGFA/TGFB2/THBS1/SEMA6D/TYMP/IL34/FGF10/RAC3/TNFAIP6/CCN1/NR4A1/NRG1/IL12A/CCL8/ACKR4/CH25H/EGR3/CYP19A1/MSTN/CCL7/LSP1/ACKR2/CCR1	38
GO:0042330	taxis	38/686	291/12179	1.04208504916855e-06	0.000163121485516877	0.000127520510213351	DUSP1/VCAM1/CXCL12/PLXNA4/CCN3/AMOT/FLRT3/DAPK2/NEDD9/S1PR1/SEMA3A/GDNF/ROBO1/HMGB2/ENPP2/VEGFA/TGFB2/THBS1/SEMA6D/TYMP/IL34/FGF10/RAC3/TNFAIP6/CCN1/NR4A1/NRG1/IL12A/CCL8/ACKR4/CH25H/EGR3/CYP19A1/MSTN/CCL7/LSP1/ACKR2/CCR1	38
GO:0001934	positive regulation of protein phosphorylation	51/686	447/12179	1.06367060886646e-06	0.000163121485516877	0.000127520510213351	HSPA2/PRKAG2/TGFBR2/TSLP/RAP2B/ARHGEF2/FZD8/NEK10/TMEM119/LIF/RSPO1/NEDD9/PIK3R3/LEP/MOB3B/FAM20A/ROBO1/TNIK/RASSF2/P2RX7/SOX9/ENPP2/PRR5L/AXIN2/VEGFA/TGFB2/THBS1/CDON/IL34/FGF10/AGT/CCN1/ADCY8/MMD/NRG1/IL12A/TNFSF15/GPRC5B/ADRA2A/ANG/RGCC/SFRP2/EPHA4/IL31RA/NGF/RAMP3/PTGS2/PLCG2/FGF22/HTR2A/IL24	51
GO:2000146	negative regulation of cell motility	33/686	236/12179	1.16534960629933e-06	0.000166062079297396	0.000129819324609466	DUSP1/CXCL12/ADARB1/CCN3/CITED2/RAP2B/FOXO3/NEDD9/ING2/ALOX15B/DUSP10/ROBO1/RHOB/APOD/KANK1/SAP30/MCTP1/DNAI3/SPINT2/THBS1/SEMA6D/TNFAIP6/STC1/FRMD5/RGCC/SFRP2/EPHA4/HMOX1/NAV3/ADORA1/CYP19A1/ACVR1C/IL24	33
GO:0042327	positive regulation of phosphorylation	54/686	486/12179	1.16786263224881e-06	0.000166062079297396	0.000129819324609466	HSPA2/PRKAG2/TGFBR2/TSLP/RAP2B/ARHGEF2/FZD8/NEK10/TMEM119/LIF/RSPO1/NEDD9/PIK3R3/LEP/MOB3B/FAM20A/ROBO1/TNIK/RASSF2/P2RX7/SOX9/ENPP2/PRR5L/AXIN2/VEGFA/TGFB2/THBS1/CDON/IL34/FGF10/AGT/CCN1/ADCY8/MMD/NRG1/IL12A/TNFSF15/MERTK/GPRC5B/ADRA2A/CIMAP3/FGFR2/ANG/RGCC/SFRP2/EPHA4/IL31RA/NGF/RAMP3/PTGS2/PLCG2/FGF22/HTR2A/IL24	54
GO:0030335	positive regulation of cell migration	49/686	424/12179	1.19886456875158e-06	0.000166062079297396	0.000129819324609466	ADAMTS1/PDPN/CXCL12/COL1A1/SUN2/FAM107A/IRS2/DAAM2/TGFBR2/NR4A3/ARHGEF2/EPHB2/DAPK2/LRRC15/MYADM/PIK3R1/NEDD9/PIK3R3/ACTA2/PRKCE/S1PR1/SEMA3A/RHOJ/PLK2/POSTN/RHOB/CARMIL1/SOX9/ENPP2/BDKRB1/VEGFA/TGFB2/THBS1/SEMA6D/IL34/FGF10/AGT/TNFAIP6/CCN1/IL12A/ADRA2A/EPHA4/HMOX1/MSTN/PTGS2/CCL7/PLCG2/MMP7/CCR1	49
GO:0007268	chemical synaptic transmission	52/686	463/12179	1.34281301233275e-06	0.000174728456816873	0.000136594280584661	CACNB2/DNM1/ADARB1/LAMA2/FAM107A/SLC6A6/SLC6A9/EPHB2/OXTR/ADCY1/ABAT/PRKCE/GLS/PLK2/ATP2A2/CADPS2/SYN2/GDNF/SLC7A11/LRRTM2/SLC38A2/P2RX7/MCTP1/AMPH/GRIK4/RAC3/PLPPR4/ADCY8/NR4A1/EGR2/CACNA1G/CAMK2A/ADRA2A/STX11/GRIK1/SORCS2/RASD2/EGR3/SNCAIP/EPHA4/INSYN2A/KCNQ3/KCND2/ADORA1/NGF/PTGS2/LGI1/GRIN2A/LRRC4/ASIC2/BEGAIN/HTR2A	52
GO:0098916	anterograde trans-synaptic signaling	52/686	463/12179	1.34281301233275e-06	0.000174728456816873	0.000136594280584661	CACNB2/DNM1/ADARB1/LAMA2/FAM107A/SLC6A6/SLC6A9/EPHB2/OXTR/ADCY1/ABAT/PRKCE/GLS/PLK2/ATP2A2/CADPS2/SYN2/GDNF/SLC7A11/LRRTM2/SLC38A2/P2RX7/MCTP1/AMPH/GRIK4/RAC3/PLPPR4/ADCY8/NR4A1/EGR2/CACNA1G/CAMK2A/ADRA2A/STX11/GRIK1/SORCS2/RASD2/EGR3/SNCAIP/EPHA4/INSYN2A/KCNQ3/KCND2/ADORA1/NGF/PTGS2/LGI1/GRIN2A/LRRC4/ASIC2/BEGAIN/HTR2A	52
GO:0099537	trans-synaptic signaling	52/686	467/12179	1.73961680512536e-06	0.000219703369447302	0.00017175349819024	CACNB2/DNM1/ADARB1/LAMA2/FAM107A/SLC6A6/SLC6A9/EPHB2/OXTR/ADCY1/ABAT/PRKCE/GLS/PLK2/ATP2A2/CADPS2/SYN2/GDNF/SLC7A11/LRRTM2/SLC38A2/P2RX7/MCTP1/AMPH/GRIK4/RAC3/PLPPR4/ADCY8/NR4A1/EGR2/CACNA1G/CAMK2A/ADRA2A/STX11/GRIK1/SORCS2/RASD2/EGR3/SNCAIP/EPHA4/INSYN2A/KCNQ3/KCND2/ADORA1/NGF/PTGS2/LGI1/GRIN2A/LRRC4/ASIC2/BEGAIN/HTR2A	52
GO:0003018	vascular process in circulatory system	27/686	176/12179	1.82706060138715e-06	0.00022415423492447	0.000175232970160109	TJP2/SLC6A6/SLC6A9/CBS/OXTR/ABCC9/GCLM/ACTA2/LEP/SLC16A12/SLC5A6/ADRA1B/DDAH1/SLC38A2/BDKRB2/GCH1/VEGFA/AGT/ADRA2A/ARHGAP42/PER2/ADORA1/SLC24A3/PTGS2/SLC7A5/ASIC2/HTR2A	27
GO:1903530	regulation of secretion by cell	44/686	371/12179	2.13440207758831e-06	0.000251475109242453	0.00019659111204721	CXCL12/CCKAR/SOX4/INHBB/RAB11FIP1/CCN3/FOXO1/IRS2/C1QTNF1/OXTR/ABAT/LIF/PLA2G4A/PRKCE/LEP/ATP2A2/CADPS2/GDNF/SLC38A2/P2RX7/MCTP1/GPR68/TGFB2/AGT/LGI3/ADCY8/IL12A/CAMK2A/ADRA2A/ANG/TRPV6/RGCC/SNCAIP/RAB27B/SEPTIN4/PER2/ADORA1/CYP19A1/RAPGEF4/EPHA5/ACVR1C/MAOB/HTR2A/CHD7	44
GO:0045776	negative regulation of blood pressure	9/686	23/12179	2.16687914344918e-06	0.000251475109242453	0.00019659111204721	KCNK6/ABCC9/ABAT/ADM2/BDKRB1/GCH1/IER3/ARHGAP42/ADORA1	9
GO:0099536	synaptic signaling	53/686	485/12179	2.43440793442142e-06	0.00027508809658962	0.000215050606727698	CACNB2/DNM1/ADARB1/LAMA2/FAM107A/SLC6A6/SLC6A9/EPHB2/OXTR/ADCY1/ABAT/PRKCE/GLS/PLK2/ATP2A2/CADPS2/SYN2/GDNF/SLC7A11/LRRTM2/SLC38A2/P2RX7/MCTP1/AMPH/GRIK4/RAC3/PLPPR4/ADCY8/NR4A1/DRP2/EGR2/CACNA1G/CAMK2A/ADRA2A/STX11/GRIK1/SORCS2/RASD2/EGR3/SNCAIP/EPHA4/INSYN2A/KCNQ3/KCND2/ADORA1/NGF/PTGS2/LGI1/GRIN2A/LRRC4/ASIC2/BEGAIN/HTR2A	53
GO:2000147	positive regulation of cell motility	49/686	438/12179	3.05434868243758e-06	0.000336291621599666	0.000262896570804141	ADAMTS1/PDPN/CXCL12/COL1A1/SUN2/FAM107A/IRS2/DAAM2/TGFBR2/NR4A3/ARHGEF2/EPHB2/DAPK2/LRRC15/MYADM/PIK3R1/NEDD9/PIK3R3/ACTA2/PRKCE/S1PR1/SEMA3A/RHOJ/PLK2/POSTN/RHOB/CARMIL1/SOX9/ENPP2/BDKRB1/VEGFA/TGFB2/THBS1/SEMA6D/IL34/FGF10/AGT/TNFAIP6/CCN1/IL12A/ADRA2A/EPHA4/HMOX1/MSTN/PTGS2/CCL7/PLCG2/MMP7/CCR1	49
GO:0030282	bone mineralization	18/686	93/12179	3.5367046889111e-06	0.000362499739540619	0.000283384813422654	GPM6B/FBN2/TMEM119/TENT5A/LEP/PKDCC/S1PR1/P2RX7/SOX9/LGR4/AXIN2/RSPO2/CCN1/FGFR2/SLC24A3/PTGS2/ENPP1/CCR1	18
GO:0008016	regulation of heart contraction	22/686	131/12179	3.63238812275077e-06	0.000362499739540619	0.000283384813422654	CACNB2/TBX18/PDE5A/ABCC9/CORIN/ATP2A2/CLIC2/ADRA1B/ADM2/FGF13/GCH1/TGFB2/AGT/SCN1B/SPTBN4/KCNE3/STC1/CACNA1G/KCND3/KCND2/ADORA1/PKP2	22
GO:0007186	G protein-coupled receptor signaling pathway	45/686	391/12179	3.68208092288888e-06	0.000362499739540619	0.000283384813422654	SORT1/KCTD12/CXCL12/CCKAR/INPP5A/FZD8/OXTR/AGTRAP/ADCY1/GPR37/ALOX15B/S1PR1/ADRA1B/ADM2/LGR4/BDKRB2/BDKRB1/GPR68/GNG2/ADCY4/FZD5/AGT/PLPPR4/ADCY8/GPR150/GPR63/GPRC5B/CAMK2A/ADRA2A/CCL8/SORCS2/ACKR4/GUCY2D/MCHR1/RXFP1/ADORA1/RAMP3/P2RY14/CCL7/RAPGEF4/DGKB/ACKR2/HTR2A/RGS6/CCR1	45
GO:0030336	negative regulation of cell migration	31/686	226/12179	3.69374585203415e-06	0.000362499739540619	0.000283384813422654	DUSP1/CXCL12/ADARB1/CCN3/CITED2/RAP2B/FOXO3/NEDD9/ING2/ALOX15B/DUSP10/ROBO1/RHOB/APOD/KANK1/SAP30/MCTP1/DNAI3/THBS1/SEMA6D/TNFAIP6/STC1/RGCC/SFRP2/EPHA4/HMOX1/NAV3/ADORA1/CYP19A1/ACVR1C/IL24	31
GO:0019229	regulation of vasoconstriction	11/686	37/12179	3.71448265947537e-06	0.000362499739540619	0.000283384813422654	OXTR/LEP/ADRA1B/BDKRB2/AGT/ADRA2A/ARHGAP42/PER2/PTGS2/ASIC2/HTR2A	11
GO:0034765	regulation of monoatomic ion transmembrane transport	34/686	261/12179	4.06945353512232e-06	0.00038831629955145	0.000303566954935791	CACNB2/STOM/KCNK6/SLC6A9/TRPC6/EPHB2/SCN7A/FGF14/PRKCE/CLIC6/CLIC2/FGF13/P2RX7/NEDD4L/BDKRB1/KCNK15/UBASH3B/SCN1B/KCNS1/KCNE3/CACNA1G/ADRA2A/KCND3/KCNQ3/KCND2/TMC2/TMEM37/RAMP3/GRIN2A/KCNA3/CATSPER2/ASIC2/KCNB2/CHD7	34
GO:0019932	second-messenger-mediated signaling	27/686	185/12179	4.83080670768252e-06	0.000450945304408451	0.000352527290407313	VCAM1/LMCD1/PDE5A/CBS/ADCY1/SGCD/ATP2A2/CLIC2/DDAH1/P2RX7/SOX9/MCTP1/VEGFA/THBS1/AGT/ACKR4/GUCY2D/MYOZ2/RASD2/GRIN2A/PLCG2/EPHA5/ACKR2/TMEM100/RCAN1/RCAN2/CCR1	27
GO:0040017	positive regulation of locomotion	49/686	446/12179	5.08032922343344e-06	0.000460008610058385	0.000359612545651506	ADAMTS1/PDPN/CXCL12/COL1A1/SUN2/FAM107A/IRS2/DAAM2/TGFBR2/NR4A3/ARHGEF2/EPHB2/DAPK2/LRRC15/MYADM/PIK3R1/NEDD9/PIK3R3/ACTA2/PRKCE/S1PR1/SEMA3A/RHOJ/PLK2/POSTN/RHOB/CARMIL1/SOX9/ENPP2/BDKRB1/VEGFA/TGFB2/THBS1/SEMA6D/IL34/FGF10/AGT/TNFAIP6/CCN1/IL12A/ADRA2A/EPHA4/HMOX1/MSTN/PTGS2/CCL7/PLCG2/MMP7/CCR1	49
GO:0070252	actin-mediated cell contraction	15/686	69/12179	5.14215493311655e-06	0.000460008610058385	0.000359612545651506	CACNB2/PDPN/ABCC9/SGCD/ACTA2/ATP2A2/FGF13/NEDD4L/SCN1B/KCNE3/STC1/CACNA1G/KCND3/ADORA1/PKP2	15
